Date,Time,Sample Period,Sample Volume,Sample Units,Count Mode,Concentration Mode,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Mode,Location Name,Sample Number,Cal. Value,Laser Current,0.3um (Cum. Counts),0.5um (Cum. Counts),1.0um (Cum. Counts),2.0um (Cum. Counts),5.0um (Cum. Counts),10.0um (Cum. Counts),Cal Alarm,Flow Alarm,Over Conc. Alarm,System Alarm,Count Alarm,Battery Alarm,Laser Alarm
2018/7/15,10:17:48,0:00:01,0.05,L,Dif.,Counts/L,21440,1440,340,320,40,0,Automatic,Line16,14,2.72,54.4,1179,107,35,18,2,0,1,0,0,0,0,0,0
2018/7/15,10:17:49,0:00:01,0.05,L,Dif.,Counts/L,19460,1120,240,380,20,0,Automatic,Line16,15,2.7,54.4,1061,88,32,20,1,0,1,0,0,0,0,0,0
2018/7/15,10:17:50,0:00:01,0.05,L,Dif.,Counts/L,18900,920,380,340,20,0,Automatic,Line16,16,2.71,54.3,1028,83,37,18,1,0,1,0,0,0,0,0,0
2018/7/15,10:17:51,0:00:01,0.05,L,Dif.,Counts/L,20840,1280,440,180,0,0,Automatic,Line16,17,2.71,54.3,1137,95,31,9,0,0,1,0,0,0,0,0,0
2018/7/15,10:17:52,0:00:01,0.05,L,Dif.,Counts/L,21620,1320,200,320,20,20,Automatic,Line16,18,2.76,54.3,1175,94,28,18,2,1,1,0,0,0,0,0,0
2018/7/15,10:17:53,0:00:01,0.05,L,Dif.,Counts/L,20700,1020,240,200,0,0,Automatic,Line16,19,2.75,54.4,1108,73,22,10,0,0,1,0,0,0,0,0,0
2018/7/15,10:17:54,0:00:01,0.05,L,Dif.,Counts/L,21520,960,400,180,20,0,Automatic,Line16,20,2.76,54.4,1154,78,30,10,1,0,1,0,0,0,0,0,0
2018/7/15,10:17:55,0:00:01,0.05,L,Dif.,Counts/L,19280,1060,280,260,0,0,Automatic,Line16,21,2.74,54.4,1044,80,27,13,0,0,1,0,0,0,0,0,0
2018/7/15,10:17:56,0:00:01,0.05,L,Dif.,Counts/L,20280,940,320,220,20,0,Automatic,Line16,22,2.75,54.4,1089,75,28,12,1,0,1,0,0,0,0,0,0
2018/7/15,10:17:57,0:00:01,0.05,L,Dif.,Counts/L,19080,940,380,240,20,0,Automatic,Line16,23,2.7,54.4,1033,79,32,13,1,0,1,0,0,0,0,0,0
