1
,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
170,11000,980.0,240,200.0,0.0,0.0,88
171,12440,900.0,220,200.0,0.0,0.0,89
172,11600,880.0,320,200.0,0.0,,90
173,12020,740.0,320,280.0,40.0,0.0,91
174,12640,980.0,240,140.0,60.0,0.0,92
175,12020,900.0,260,340.0,0.0,0.0,93
176,12200,800.0,280,180.0,40.0,0.0,94
177,11860,1280.0,240,200.0,0.0,0.0,95
178,12300,1040.0,200,200.0,0.0,0.0,96
179,12520,940.0,360,200.0,20.0,20.0,97
180,12060,900.0,100,240.0,80.0,20.0,98
181,11920,1140.0,160,160.0,20.0,0.0,99
182,12060,860.0,180,260.0,0.0,20.0,100
183,11120,1000.0,140,420.0,40.0,0.0,101
184,11600,960.0,400,180.0,0.0,0.0,102
185,11800,1320.0,220,220.0,0.0,0.0,103
186,11340,1020.0,120,200.0,20.0,20.0,104
187,11020,960.0,340,100.0,0.0,0.0,105
188,10620,1180.0,240,200.0,40.0,20.0,106
189,12140,1060.0,200,180.0,0.0,0.0,107
190,11600,840.0,360,220.0,20.0,0.0,108
191,11720,1100.0,280,120.0,20.0,20.0,109
192,11860,1040.0,260,180.0,20.0,0.0,110
193,12280,700.0,140,140.0,20.0,0.0,111
194,12040,1020.0,100,220.0,20.0,0.0,112
195,11780,1160.0,200,80.0,0.0,0.0,113
196,11380,940.0,240,260.0,40.0,20.0,114
197,11740,1100.0,200,200.0,20.0,0.0,115
198,11200,760.0,240,160.0,40.0,0.0,116
199,11240,820.0,300,120.0,0.0,0.0,117
200,9680,880.0,240,100.0,40.0,20.0,118
201,11080,920.0,80,160.0,40.0,0.0,119
202,10060,1300.0,300,100.0,0.0,0.0,120
203,10700,840.0,360,300.0,0.0,0.0,121
204,10900,1100.0,220,180.0,0.0,0.0,122
205,11680,1000.0,120,180.0,20.0,0.0,123
206,10700,760.0,180,120.0,20.0,0.0,124
207,10240,1140.0,280,220.0,40.0,0.0,125
208,10960,1000.0,260,240.0,0.0,0.0,126
209,10780,1020.0,280,280.0,60.0,0.0,127
210,11440,900.0,180,240.0,0.0,0.0,128
211,10180,1120.0,300,220.0,40.0,0.0,129
212,10380,720.0,320,120.0,0.0,0.0,130
213,10040,860.0,140,220.0,0.0,,131
214,11400,720.0,200,220.0,20.0,20.0,132
215,11640,1020.0,240,340.0,20.0,0.0,133
216,11060,880.0,360,340.0,20.0,0.0,134
217,10820,860.0,220,300.0,20.0,0.0,135
218,10080,840.0,220,220.0,40.0,0.0,136
219,10280,880.0,240,320.0,40.0,20.0,137
220,11100,1060.0,360,200.0,0.0,0.0,138
