1
 0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
14040, 1940, 660, 340, 20, 0 
13720, 1740, 540, 560, 0, 0 
12940, 1720, 620, 620, 20, 0 
14180, 1840, 580, 500, 0, 0 
14200, 1940, 520, 380, 20, 0 
13560, 2280, 740, 520, 80, 20 
13200, 1960, 560, 620, 40, 0 
14860, 1960, 680, 560, 100, 0 
13660, 2080, 620, 620, 20, 20 
14600, 2220, 800, , 20, 0 
15060, , 700, 580, 60, 20 
13880, 1840, 700, 420, 20, 0 
13380, 1760, 440, 440, 40, 0 
14120, 1820, 440, 500, 0, 0 
13140, 1360, 460, 600, 20, 0 
13300, 1760, 600, 660, 0, 20 
14000, 2080, 660, 540, 40, 0 
13520, 1920, 660, 500, 40, 0 
13540, 1780, 660, 360, 20, 0 
13440, 1500, 540, 560, 20, 0 
12740, 1940, 700, 540, 60, 0 
14120, 2020, 760, 560, 20, 0 
14440, 2180, 560, 520, 60, 0 
14440, 1700, 640, 480, 0, 20 
14420, 1780, 720, 580, 40, 0 
13340, 1980, 560, 640, 0, 0 
14560, 2220, 540, 860, 80, 0 
12720, 1960, 640, 500, 20, 0 
14240, 2100, 520, 520, 0, 20 
13040, 1680, 500, 300, 0, 0 
13080, 1760, 420, 360, 40, 0 
12220, 1700, 440, 120, 0, 0 
13360, 1560, 400, 280, 0, 0 
12820, 1620, 640, 320, 0, 0 
13100, 1640, 540, 320, 0, 0 
13060, 1200, 240, 320, 0, 0 
13720, 2040, 460, 360, 0, 0 
12900, 1520, 380, 380, 20, 0 
13360, 1760, 460, 280, 0, 0 
12800, 1960, 660, 400, 20, 0 
13740, 1660, 440, 460, 0, 0 
13000, 1480, 680, 600, 60, 0 
12600, 1940, 600, 300, 20, 20 
12980, 1640, 420, 380, 40, 0 
13260, 1820, 360, 300, 0, 0 
12360, 1700, 420, 400, 0, 0 
13120, 1680, 660, 500, 0, 0 
12480, 1800, 440, 460, 20, 0 
14020, 1440, 440, 320, 20, 0 
13120, 1980, 560, 500, 0, 0 
13500, 1320, 520, 380, 0, 0 
13100, 1700, 600, 380, 20, 0 
13820, 1880, 400, 460, 20, 0 
13100, 2080, 440, 600, 20, 0 
13080, 1740, 420, 580, 0, 0 
13200, 1900, 380, 460, 60, 0 
3
 0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
12960, 2200, 540, 400, 20, 0 
13560, 2040, 560, 500, 0, 0 
13860, 2220, 600, 520, 0, 0 
14060, 1780, 600, 500, 60, 0 
13260, 2040, 640, 440, 60, 0 
15020, 1800, 460, 560, 40, 20 
13920, 1940, 440, 480, 60, 0 
13120, 2080, 560, 500, 0, 0 
13340, 1640, 540, 580, 0, 0 
13360, 2020, 620, 520, 20, 20 
13200, 1800, 720, 400, 40, 0 
13200, 1940, 540, 420, 40, 0 
13500, 1720, 540, 500, 40, 0 
13060, 1720, 520, 640, 0, 20 
13140, 2200, 500, 560, 20, 0 
14040, 1960, 500, 520, 20, 0 
13080, 1880, 480, 560, 20, 0 
13280, 2000, 700, 300, 20, 0 
13560, 1740, 720, 700, 0,  
14560, 2260, 600, 520, 20, 20 
13700, 1820, 580, 760, 20, 0 
13260, 1780, 500, 620, 20, 0 
13560, 1800, 780, 640, 40, 0 
12780, 1760, 480, 680, 40, 20 
14280, 1840, 480, 500, 60,  
12780, 2000, 620, 560, 40, 20 
13280, 2040, 540, 580, 60, 0 
12980, 1860, 420, 540, 60, 0 
14240, 1700, 700, 680, 0, 0 
13300, 1920, 520, 580, 40, 0 
13180, 2000, 680, 420, 20, 20 
13440, 1460, 500, 520, 40, 20 
13140, 1920, 780, 460, 20, 0 
13980, 1540, 560, 680, 40, 0 
13180, 1700, 440, 380, 20, 0 
11940, 1400, 420, 300, 40, 0 
12060, 1620, 540, 260, 40, 0 
13820, 1960, 560, 440, 60, 20 
13740, 1700, 400, 460, 20, 20 
13640, 1840, 700, 320, 0, 0 
14380, 1480, 520, 480, 0, 0 
13620, 1880, 640, 440, 40, 0 
13660, 1500, 480, 340, 40, 0 
13080, 1600, 380, 300, 20, 0 
13080, 1880, 460, 300, 20, 0 
13200, 1700, 600, 600, 0, 0 
12640, 1760, 580, 240, 0, 0 
13300, 1620, 540, 460, 20, 0 
13700, 1600, 620, 460, 40, 0 
13160, 1780, 600, 500, 0, 0 
13820, 1900, 340, 540, 60, 0 
13180, 1840, 420, 480, 0, 20 
13260, 1760, 380, 620, 80, 20 
12500, 2040, 560, 600, 80, 20 
13320, 1900, 660, 620, 80, 0 
12600, 1820, 580, 360, 20, 0 
12120, 1880, 540, 340, 20, 0 
12100, 1760, 440, 520, 0, 0 
12420, 1740, 460, 220, 20, 0 
13220, 1680, 460, 560, 20, 20 
13520, 1660, 820, 440, 0, 0 
12920, 1720, 360, 420, 40, 0 
14180, 1980, 540, 240, 0, 0 
13840, 1780, 620, 460, 20, 0 
13180, 2220, 500, 520, 20, 0 
13040, 1840, 520, 480, 20, 20 
13120, 1580, 380, 500, 0,  
13520, 1880, 500, 480, 40, 0 
12700, 1480, 300, 400, 40, 20 
12980, 1700, 380, 520, 20, 20 
13760, 1860, 600, 600, 20, 0 
13020, 1900, 640, 440, 0, 0 
12300, 2060, 560, 480, 60, 20 
13780, 1920, 640, 460, 20, 20 
12440, 2120, 480, 380, 20, 0 
13360, 1760, 500, 280, 0, 0 
13060, 1700, 480, 560, 100, 0 
12620, 2320, 500, 540, 0, 0 
13380, 2160, 860, 600, 0, 0 
14360, 2140, 500, 800, 40, 0 
13400, 1700, 540, 500, 40, 0 
13020, 1720, 580, 360, 40, 0 
12060, 1740, 400, 440, 20, 0 
13380, 1680, 580, 480, 40, 0 
12800, 1660, 500, 540, 40, 0 
12940, 1420, 620, 340, 0, 0 
12820, 1840, 580, 340, 20, 20 
13220, 1660, 540, 300, 20,  
12480, 1820, 420, 380, 20, 0 
12960, 1620, 540, 460, 20, 0 
13280, 1980, 580, 580, 0, 0 
13540, 2420, 500, 440, 20, 0 
12700, 1780, 460, 480, 80, 0 
14560, 2280, 480, 400, 60, 0 
14340, 1840, 640, 500, 20, 0 
12960, 1800, 560, 460, 40, 0 
13760, 1920, 600, 560, 80,  
13080, 1740, 440, 560, 20, 0 
12780, 2240, 360, 320, 20, 20 
